        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-03-26 14:14:11 ,          99.8   ,           2593.7   ,               42.0   ,          5   ,                        538   ,         0.1   ,             -   ,               42.0   ,                  6177   ,
2024-03-26 14:14:12 ,          99.8   ,           2593.7   ,               44.0   ,          4   ,                        538   ,         0.0   ,             -   ,               41.0   ,                  6175   ,
2024-03-26 14:14:13 ,          99.8   ,           2593.7   ,               42.0   ,          0   ,                        538   ,         0.0   ,             -   ,               41.0   ,                  6174   ,
2024-03-26 14:14:14 ,          99.8   ,           2593.7   ,               42.0   ,          2   ,                        538   ,         0.0   ,             -   ,               41.0   ,                  6176   ,
2024-03-26 14:14:15 ,          99.8   ,           2593.7   ,               44.0   ,          5   ,                        535   ,         0.0   ,             -   ,               42.0   ,                  6170   ,
        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Used (Dedicated) [MB] , GPU Power [W] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-03-28 23:03:05 ,          99.8   ,           2593.7   ,               63.0   ,          0   ,                       1819   ,         0.0   ,             -   ,               92.0   ,                 11422   ,
2024-03-28 23:03:06 ,         598.5   ,           2593.7   ,               65.0   ,         34   ,                       1822   ,         1.7   ,         0.800   ,               89.0   ,                 11417   ,
2024-03-28 23:03:07 ,         897.8   ,           2593.7   ,               64.0   ,         45   ,                       1803   ,         1.5   ,         0.880   ,               93.0   ,                 11418   ,
2024-03-28 23:03:08 ,          99.8   ,           2593.7   ,               64.0   ,         28   ,                       1804   ,         1.6   ,             -   ,               97.0   ,                 11411   ,
2024-03-28 23:03:09 ,          99.8   ,           2593.7   ,               64.0   ,         31   ,                       1840   ,         1.7   ,             -   ,               92.0   ,                 11416   ,
2024-03-28 23:03:10 ,          99.8   ,           2593.7   ,               63.0   ,         26   ,                       1836   ,         1.5   ,             -   ,               89.0   ,                 11420   ,
2024-03-28 23:03:11 ,         598.5   ,           2593.7   ,               63.0   ,         53   ,                       1837   ,         1.8   ,         0.800   ,               92.0   ,                 11404   ,
2024-03-28 23:03:12 ,          99.8   ,           2593.7   ,               64.0   ,         35   ,                       1814   ,         1.2   ,             -   ,               89.0   ,                 11380   ,
2024-03-28 23:03:13 ,          99.8   ,           2593.7   ,               64.0   ,         35   ,                       1814   ,         1.2   ,         0.765   ,               91.0   ,                 11378   ,
2024-03-28 23:03:14 ,          99.8   ,           2593.7   ,               63.0   ,         35   ,                       1814   ,         1.2   ,             -   ,               95.0   ,                 11367   ,
2024-03-28 23:03:15 ,          99.8   ,           2593.7   ,               64.0   ,         35   ,                       1817   ,         1.3   ,             -   ,               96.0   ,                 11376   ,
2024-03-28 23:03:16 ,          99.8   ,           2593.7   ,               63.0   ,         35   ,                       1817   ,         1.2   ,             -   ,               89.0   ,                 11375   ,
2024-03-28 23:03:17 ,          99.8   ,           2593.7   ,               69.0   ,         14   ,                       1820   ,         0.5   ,             -   ,               94.0   ,                 11393   ,
2024-03-28 23:03:18 ,          99.8   ,           2593.7   ,               66.0   ,         38   ,                       1812   ,         1.3   ,             -   ,               93.0   ,                 11376   ,
2024-03-28 23:03:19 ,          99.8   ,           2593.7   ,               64.0   ,         38   ,                       1814   ,         1.4   ,             -   ,               91.0   ,                 11371   ,
2024-03-28 23:03:20 ,          99.8   ,           2593.7   ,               64.0   ,         37   ,                       1816   ,         1.3   ,             -   ,               96.0   ,                 11374   ,
2024-03-28 23:03:21 ,          99.8   ,           2593.7   ,               64.0   ,         37   ,                       1816   ,         1.3   ,             -   ,               93.0   ,                 11374   ,
2024-03-28 23:03:22 ,          99.8   ,           2593.7   ,               64.0   ,         37   ,                       1816   ,         1.3   ,             -   ,               96.0   ,                 11373   ,
2024-03-28 23:03:23 ,         598.5   ,           2593.7   ,               63.0   ,         36   ,                       1817   ,         1.3   ,         0.800   ,               92.0   ,                 11375   ,
2024-03-28 23:03:24 ,          99.8   ,           2593.7   ,               66.0   ,         37   ,                       1817   ,         1.3   ,             -   ,               91.0   ,                 11330   ,
